Post Type,Quarter,Content,Hashtags,Accounts Reached,Accounts Engaged,Impressions,Impressions From Home,Impressions From Profile,Impressions From Hashtags,Impressions From Location,Impressions From Reel,Impressions From Explore,Impressions From Other,Interactions,Likes,Saves,Comments,Shares,Profile Visits,External Link Taps,Follows,Business Address Taps
Meeting Promotion,Fall 2021,"Guest Speaker - Paula Smith, Intercollegiate Athletic Director, UCI Athletics",#SBAUCI #UCI #UCIrvine #SportsBusiness #UCIAthletics #PaulaSmith #DivisionI #AthleticsDirector #CollegeSports #BigWestConference #UCIAthletics,15,0,18,0,15,3,0,0,0,0,31,26,3,2,0,0,0,0,0
Meeting Promotion,Fall 2021,"Guest Speaker - Paula Smith, Intercollegiate Athletic Director, UCI Athletics",#SBAUCI #UCI #UCIrvine #SportsBusiness #UCIAthletics #PaulaSmith #DivisionI #AthleticsDirector #CollegeSports #BigWestConference #UCIAthletics,16,0,23,0,22,1,0,0,0,0,18,14,1,3,0,1,0,0,0
Meeting Recap,Fall 2021,"Guest Speaker - Paula Smith, Intercollegiate Athletic Director, UCI Athletics",#SBAUCI #UCI #UCIrvine #SportsBusiness #UCIAthletics #PaulaSmith #DivisionI #AthleticsDirector #CollegeSports #BigWestConference #UCIAthletics,18,0,23,0,18,4,0,0,0,1,61,48,2,11,0,0,0,0,0
Meeting Recap,Fall 2021,"Guest Speaker - Paula Smith, Intercollegiate Athletic Director, UCI Athletics",#SBAUCI #UCI #UCIrvine #SportsBusiness #UCIAthletics #PaulaSmith #DivisionI #AthleticsDirector #CollegeSports #BigWestConference #UCIAthletics,22,0,33,0,33,0,0,0,0,0,19,17,0,2,0,0,0,0,0
Meeting Promotion,Fall 2021,"Professional Workshop - Sarah Yoo, Associate Director, BA Career Services; Hayley Ng, Merage Peer Career Advisor",#SBAUCI #UCI #UCIrvine #SportsBusiness #HayleyNg #SarahYoo #ProfessionalWorkshop #LinkedIn,54,0,72,0,60,5,0,0,0,7,38,29,3,6,0,0,0,0,0
Meeting Recap,Fall 2021,"Professional Workshop - Sarah Yoo, Associate Director, BA Career Services; Hayley Ng, Merage Peer Career Advisor",#SBAUCI #UCI #UCIrvine #SportsBusiness #HayleyNg #SarahYoo #ProfessionalWorkshop #LinkedIn #Networking,74,0,89,0,64,5,5,0,0,15,42,39,1,2,0,0,0,0,0
Meeting Recap,Fall 2021,"Professional Workshop - Sarah Yoo, Associate Director, BA Career Services; Hayley Ng, Merage Peer Career Advisor",#SBAUCI #SportsBusiness #UCI #UCIrvine #Networking #LinkedIn #ProfessionalWorkshop,27,0,33,0,33,0,0,0,0,0,16,12,1,3,0,0,0,0,0
Event Promotion,Fall 2021,Social - Bowling,#SBAUCI #SportsBusiness #UCI #UCIrvine #Bowling #IrvineLanes,35,0,39,0,32,6,0,0,0,1,32,28,3,1,0,0,0,0,0
Meeting Promotion,Fall 2021,"Guest Speaker - Andrea Berryman, Director of Corporate Partnerships Activation, Anaheim Ducks",#SBAUCI #SportsBusiness #UCI #UCIrvine #AndreaBerryman #AnaheimDucks,38,0,42,0,39,0,0,0,0,3,29,23,4,2,9,0,0,0,0
Event Recap,Fall 2021,Social - Bowling,#SBAUCI #SportsBusiness #UCI #UCIrvine #Bowling #IrvineLanes,69,0,890,0,0,0,0,890,0,0,35,31,0,4,0,0,0,0,0
Fundraiser Promotion,Fall 2021,Fundraiser - Cha For Tea,#SBAUCI #SportsBusiness #UCI #UCIrvine #Cha4Tea #Boba #Fundraiser,39,0,44,0,44,0,0,0,0,0,23,22,0,1,0,0,0,0,0
Meeting Recap,Fall 2021,"Guest Speaker - Andrea Berryman, Director of Corporate Partnerships Activation, Anaheim Ducks",#SBAUCI #SportsBusiness #UCI #UCIrvine #AnaheimDucks #NHL,33,0,427,0,0,0,0,427,0,0,29,23,1,5,0,0,0,0,0
Announcement,Fall 2021,No Meeting,#SBAUCI #SportsBusiness #UCI #UCIrvine,29,0,31,0,31,0,0,0,0,0,18,18,0,0,0,0,0,0,0
Meeting Promotion,Fall 2021,"Professional Workshop - Ishmael Lawrence, Director of Marketing, Steinberg Sports & Entertainment",#SBAUCI #SportsBusiness #UCI #UCIrvine #InteractiveWorkshop #IshmaelLawrence #SteinbergSports #Marketing #SportsMarketing,27,0,30,0,24,5,0,0,0,1,34,29,4,1,0,0,0,0,0
Announcement,Fall 2021,Executive Board Applications,#SBAUCI #SportsBusiness #UCI #UCIrvine #ExecutiveBoard,25,0,28,0,27,1,0,0,0,0,15,13,1,1,0,0,0,0,0
Meeting Recap,Fall 2021,"Professional Workshop - Ishmael Lawrence, Director of Marketing, Steinberg Sports & Entertainment",#SBAUCI #SportsBusiness #UCI #UCIrvine #InteractiveWorkshop #IshmaelLawrence #SteinbergSports #Marketing #SportsMarketing #PatrickMahomes #NFL #Sports Agency,32,0,37,0,33,4,0,0,0,0,33,26,1,6,0,0,0,0,0
Event Promotion,Fall 2021,Facility Tour - SoFi Stadium,#SBAUCI #SportsBusiness #UCI #UCIrvine #LAChargers #LARams #SoFiStadium #FacilityTour,34,0,40,0,39,1,0,0,0,0,32,26,1,5,0,0,0,0,0
Event Promotion,Fall 2021,Field Day,#SBAUCI #SportsBusiness #UCI #UCIrvine #SocialEvent #FieldDay,74,0,131,0,109,0,0,0,0,22,18,16,2,0,0,16,4,0,0
Event Recap,Fall 2021,Facility Tour - SoFi Stadium,#SBAUCI #SportsBusiness #UCI #UCIrvine #FacilityTour #SoFiStadium #LAChargers #LARams #Inglewood,144,0,225,0,218,1,0,0,0,6,96,81,2,13,0,8,0,0,0
Individual Spotlight,Fall 2021,"Job Spotlight - Adam Do, Communications Game Night Staff, LA Clippers",#SBAUCI #SportsBusiness #UCI #UCIrvine #LAClippers #Alumni #JobSpotlight #Communications,136,0,176,0,172,1,0,0,0,3,31,26,2,3,0,10,0,0,0
Meeting Promotion,Fall 2021,"Guest Speaker - Danelle Winfield, Senior Director of Game Operations, LA Sparks",#SBAUCI #SportsBusiness #UCI #UCIrvine #DanelleWinfield #LASparks #WNBA #TheW #WomensSports #Basketball,33,0,37,0,37,0,0,0,0,0,31,28,0,3,0,0,0,0,0
Meeting Promotion,Fall 2021,"Guest Speaker - Danelle Winfield, Senior Director of Game Operations, LA Sparks",#SBAUCI #SportsBusiness #UCI #UCIrvine #DanelleWinfled #LASparks #WNBA #TheW #WomensSports #Basketball,20,0,23,0,22,0,0,0,0,1,17,14,1,2,0,0,0,0,0
Meeting Recap,Fall 2021,"Guest Speaker - Danelle Winfield, Senior Director of Game Operations, LA Sparks",#SBAUCI #SportsBusiness #UCI #UCIrvine #DanelleWinfield #LASparks #WNBA #TheW #WomensSports #Basketball #LinkedIn,25,0,28,0,28,0,0,0,0,0,14,13,0,1,0,0,0,0,0
Meeting Recap,Fall 2021,"Guest Speaker - Danelle Winfield, Senior Director of Game Operations, LA Sparks",#SBAUCI #SportsBusiness #UCI #UCIrvine #DanelleWinfield #LASparks #WNBA #TheW #WomensSports #Basketball #Tshirttoss #Gameoperations #WNBAEntertainment,66,0,342,0,0,0,0,342,0,0,25,23,0,2,0,0,0,0,0
Announcement,Fall 2021,No Meeting,#SBAUCI #SportsBusiness #UCI #UCIrvine,51,0,61,0,61,0,0,0,0,0,14,14,0,0,0,0,0,0,0
Individual Spotlight,Winter 2022,"Member Monday - Joseph Rubio, SBA Member",#SBAUCI #UCI #UCIrvine #Sportsbusiness #Marketing #MemberMondays #MLB #NFL #Finance #Analytics,65,0,75,0,66,0,0,0,0,9,32,30,0,2,0,4,0,0,0
Meeting Promotion,Winter 2022,Guest Speaker - Women in Sports Panel,#SBAUCI #SportsBusiness #UCI #UCIrvine #KristenWelch #TheWelchConsultancy #NetWorthSports #StephanieLovell #Togethxr #MeganCiampa #LAGalaxy #Womeninsports,74,0,85,0,82,3,0,0,0,0,27,24,2,1,0,0,0,0,0
Meeting Promotion,Winter 2022,Guest Speaker - Women in Sports Panel,#SBAUCI #SportsBusiness #UCI #UCIrvine #KristenWelch #TheWelchConsultancy #NetWorthSports #StephanieLovell #Togethxr #MeganCiampa #LAGalaxy #Womeninsports,63,0,75,0,70,5,0,0,0,0,29,26,0,3,0,3,0,0,0
Meeting Promotion,Winter 2022,"Guest Speaker - J. Shakir Ramsey, Global Director of Digital Growth, Adidas",#SBAUCI #SportsBusiness #UCI #UCIrvine #JShakirRamsey #DigitalGrowth,62,1,78,0,77,0,0,0,0,1,28,23,2,3,0,0,0,0,0
Meeting Recap,Winter 2022,Guest Speaker - Women in Sports Panel,#SBAUCI #SportsBusiness #UCI #UCIrvine #KristenWelch #TheWelchConsultancy #NetWorthSports #StephanieLovell #Togethxr #MeganCiampa #LAGalaxy #LAChargers #WomenInSports,70,0,83,0,80,2,0,0,0,1,23,21,0,2,0,0,0,0,0
Meeting Recap,Winter 2022,Guest Speaker - Women in Sports Panel,#SBAUCI #SportsBusiness #UCI #UCIrvine #KristenWelch #TheWelch Consultancy #NetWorthSports #StephanieLovell #Togethxr #MeganCiampa #LAGalaxy #LAChargers #WomenInSports,166,2,211,0,207,4,0,0,0,0,22,21,0,1,0,1,0,0,0
Announcement,Winter 2022,Executive Board Introduction,#SBAUCI #UCI #UCIrvine #SportsBusiness #ExecutiveBoard,171,3,217,0,214,1,0,0,0,2,70,58,2,9,1,0,0,0,0
Meeting Recap,Winter 2022,"Guest Speaker - J. Shakir Ramsey, Global Director of Digital Growth, Adidas",#SBAUCI #SportsBusiness #UCI #UCIrvine #JShakirRamsey #DigitalGrowth #DataAnalytics,168,1,214,0,213,0,0,0,0,1,21,19,0,2,0,0,0,0,0
Meeting Recap,Winter 2022,"Guest Speaker - J. Shakir Ramsey, Global Director of Digital Growth, Adidas",#SBAUCI #SportsBusiness #UCI #UCIrvine #JShakirRamsey #DigitalGrowth #DataAnalytics,70,1,80,0,78,0,0,0,0,2,15,14,1,0,0,0,0,0,0
Meeting Promotion,Winter 2022,Social - Game Night,#SBAUCI #SportsBusiness #UCI #UCIrvine #Gamenightsocial #scribblio #codenames #cardsagainsthumanity,55,1,64,0,60,3,0,0,0,1,23,18,2,2,1,0,0,0,0
Meeting Promotion,Winter 2022,"Professional Workshop - Jamie Labelle, Human Resources Manager, LA Lakers",#SBAUCI #UCI #UCIrvine #SportsBusiness #ProfessionalWorkshop #Resume #CoverLetter,53,1,62,0,60,0,0,0,0,2,25,23,2,0,0,0,0,0,0
Meeting Promotion,Winter 2022,"Professional Workshop - Jamie Labelle, Human Resources Manager, LA Lakers",#SBAUCI #UCI #UCIrvine #SportsBusiness #ProfessionalWorkshop #Resume #CoverLetter #JamieLabelle #LALakers #HumanResources #Manager,90,0,112,0,111,1,0,0,0,0,28,25,1,2,0,0,0,0,0
Meeting Recap,Winter 2022,"Professional Workshop - Jamie Labelle, Human Resources Manager, LA Lakers",#SBAUCI #UCI #UCIrvine #SportsBusiness #ProfessionalWorkshop #Resume #CoverLetter #JaimeLabelle #LALakers #HumanResources #Manager,97,0,124,0,124,0,0,0,0,0,32,26,1,5,0,0,0,0,0
Meeting Recap,Winter 2022,"Professional Workshop - Jamie Labelle, Human Resources Manager, LA Lakers",#SBAUCI #UCI #UCIrvine #SportsBusiness #ProfessionalWorkshop #Resume #CoverLetter #JaimeLabelle #LALakers #HumanResources #Manager,104,1,137,1,132,0,0,0,0,4,13,12,1,0,0,1,0,0,0
Announcement,Winter 2022,No Meeting,#SBAUCI #SportsBusiness #UCI #UCIrvine,114,0,141,2,139,0,0,0,0,0,14,14,0,0,0,0,0,0,0
Event Promotion,Winter 2022,Social - Watch Party,#SBAUCI #SportsBusiness #UCI #UCIrvine #NBA #LALakers #Lakers #MilwaukeeBucks #Bucks,334,25,441,130,197,0,0,0,1,113,45,21,3,1,20,52,0,0,0
Event Recap,Winter 2022,Social - Watch Party,#SBAUCI #SportsBusiness #UCI #UCIrvine #NBA #LALakers #Lakers #MilwaukeeBucks #Bucks,278,25,361,162,184,15,0,0,0,0,25,24,0,1,0,2,0,0,0
Meeting Promotion,Winter 2022,"Guest Speaker - Connor Crowley, Associate Producer, FOX Sports",#SBAUCI #SportsBusiness #UCI #UCIrvine #ConnorCrowley #FoxSports #Production #SportsProduction,242,18,326,136,164,12,0,0,0,14,31,16,0,0,15,7,0,0,0
Meeting Promotion,Winter 2022,"Guest Speaker - Connor Crowley, Associate Producer, FOX Sports",#SBAUCI #SportsBusiness #UCI #UCIrvine #ConnorCrowley #FOXSportrs #Production #SportsProduction,210,15,273,120,142,11,0,0,0,0,16,15,0,1,0,5,0,0,0
Meeting Recap,Winter 2022,"Guest Speaker - Connor Crowley, Associate Producer, FOX Sports",#SBAUCI #SportsBusiness #UCI #UCIrvine #ConnorCrowley #FOXSports #Production #SportsProduction,262,36,364,183,134,13,0,0,0,23,38,35,0,1,2,3,0,0,0
Meeting Recap,Winter 2022,"Guest Speaker - Connor Crowley, Associate Producer, FOX Sports",#SBAUCI #SportsBusiness #UCI #UCIrvine #ConnorCrowley #FOXSports #Production #SportsProduction,213,14,304,117,179,8,0,0,0,0,15,13,0,2,0,1,0,0,0
Meeting Promotion,Winter 2022,Guest Speaker - Future of Sports Tech Panel,#SBAUCI #SportsBusiness #UCI #UCIrvine #MarkDeppe #UCIESports #MaxGrodnick #Galvanized #JoeyJones #CandyDigital #FutureinSportsPanel #Networking,263,23,346,140,135,21,0,0,0,50,49,21,1,5,22,15,0,0,0
Meeting Promotion,Winter 2022,Guest Speaker - Future of Sports Tech Panel,#SBAUCI #SportsBusiness #UCI #UCIrvine #MarkDeppe #UCIESports #MaxGrodnick #Galvanized #JoeyJones #CandyDigital #FutureinSportsPanel #Networking #FutureinSportsPanel #Networking,217,16,317,143,151,21,0,0,0,2,17,15,0,1,1,3,0,0,0
Announcement,Winter 2022,Executive Board Applications,#SBAUCI #SportsBusiness #UCI #UCIrvine #ExecutiveBoard #SBAAllStars,333,31,467,173,187,18,0,0,0,89,74,23,1,3,47,55,3,2,0
Meeting Recap,Winter 2022,Guest Speaker - Future of Sports Tech Panel,#SBAUCI #SportsBusiness #UCI #UCIrvine #JoeyJones #CandyDigital #FutureinSports #Networking,301,26,421,185,191,14,0,0,0,31,28,26,2,0,0,7,0,0,0
Meeting Recap,Winter 2022,Guest Speaker - Future of Sports Tech Panel,#SBAUCI #SportsBusiness #UCI #UCIrvine #JoeyJones #CandyDigital #FutureinSports #Networking,241,12,321,120,191,8,0,0,0,2,11,11,0,0,0,6,0,0,0
Fundraiser Promotion,Winter 2022,Fundraiser - Starbucks Coffee,#SBAUCI #SportsBusiness #UCI #UCIrvine #Fundraiser #Starbucks,247,24,321,141,135,13,0,0,0,32,43,16,3,1,23,8,0,0,0
Announcement,Winter 2022,No Meeting,#SBAUCI #SportsBusiness #UCI #UCIrvine,249,12,304,121,168,15,0,0,0,0,12,12,0,0,0,4,0,0,0
Meeting Promotion,Spring 2022,"Guest Speaker - Scott Juniper, Head Coach, UCI Women's Soccer",#SBAUCI #SportsBusiness #UCI #UCIrvine #ScottJuniper #Soccer #Futbol #UCIWomensSoccer,433,32,525,150,186,28,0,0,0,161,65,27,1,2,35,75,0,0,0
Meeting Promotion,Spring 2022,"Guest Speaker - Scott Juniper, Head Coach, UCI Women's Soccer",#SBAUCI #SportsBusiness #UCI #UCIrvine #ScottJuniper #Soccer #Futbol #UCIWomensSoccer,281,19,366,145,208,12,0,0,0,1,19,19,0,0,0,6,0,0,0
Meeting Recap,Spring 2022,"Guest Speaker - Scott Juniper, Head Coach, UCI Women's Soccer",#SBAUCI #SportsBusiness #UCI #UCIrvine #ScottJuniper #Soccer #Futbol #UCIWomensSoccer,321,32,438,214,176,18,0,0,0,25,34,32,0,0,2,8,0,0,0
Meeting Recap,Spring 2022,"Guest Speaker - Scott Juniper, Head Coach, UCI Women's Soccer",#SBAUCI #SportsBusiness #UCI #UCIrvine #ScottJuniper #Soccer #Futbol #UCIWomensSoccer,336,18,452,143,273,16,0,0,0,20,26,18,8,0,0,9,0,2,0
Meeting Promotion,Spring 2022,Guest Speaker - Alumni Roundtable,#SBAUCI #SportsBusiness #UCI #UCIrvine #AdamDo #LAClippers #BrandonHino #Ballislife #ShawnDeluz #Innopiphany #JanessaParedes #Pickup #PriyankiPabari #Deloitte #SamuelShin #AguaCalienteClippers #ChrisTusler #HydroFlow #JuanRamirez #TauroCapitalAdvisors #KatrinaKrzywicki #Paciolan,580,39,750,200,274,74,0,0,0,187,89,36,1,2,50,88,0,2,0
Meeting Recap,Spring 2022,Guest Speaker - Alumni Roundtable,#SBAUCI #SportsBusiness #UCI #UCIrvine #AdamDo #LAClippers #BrandonHino #Ballislife #ShawnDeluz #Innopiphany #JanessaParedes #Pickup #PriyankiPabari #Deloitte #SamuelShin #AguaCalienteClippers #ChrisTusler #HydroFlow #JuanRamirez #TauroCapitalAdvisors #KatrinaKrzywicki #Paciolan,400,26,547,152,367,16,0,0,0,4,29,26,0,1,2,10,0,0,0
Announcement,Spring 2022,Executive Board Introduction,#SBAUCI #UCI #UCIrvine #SportsBusiness #Interns,1503,57,2279,244,1580,34,0,0,0,420,82,50,2,5,25,258,0,0,0
Meeting Promotion,Spring 2022,"Guest Speaker - Georgia Kasperowicz, Performance Data Analyst, LAFC",#SBAUCI #SportsBusiness #UCI #UCIrvine #GeorgiaKasperowicz #LAFC #DataAnalytics #Soccer,386,27,530,126,292,41,0,0,0,63,55,22,0,2,31,31,0,0,0
Meeting Promotion,Spring 2022,"Guest Speaker - Georgia Kasperowicz, Performance Data Analyst, LAFC",#SBAUCI #SportsBusiness #UCI #UCIrvine #GeorgiaKasperowicz #Soccer #ESPN #UConn #DataAnalyst,322,18,396,133,196,67,0,0,0,0,19,18,1,0,0,10,1,0,0
Meeting Recap,Spring 2022,"Guest Speaker - Georgia Kasperowicz, Performance Data Analyst, LAFC",#SBACI #SportsBusiness #UCI #UCIrvine #Soccer #GeorgiaKasperowicz #ESPN #UConn #Dataanalyst #LAFC,450,38,532,170,199,70,0,0,0,74,43,37,0,2,4,9,0,0,0
Meeting Recap,Spring 2022,"Guest Speaker - Georgia Kasperowicz, Performance Data Analyst, LAFC",#SBAUCI #SportsBusiness #UCI #UCIrvine #GeorgiaKasperowicz #LAFC #DataAnalytics #Soccer,316,18,416,137,256,21,0,0,0,1,18,18,0,0,0,7,0,0,0
Event Promotion,Spring 2022,Facility Tour - Dodger Stadium,#SBAUCI #SportsBusiness #UCI #UCIrvine #LADodgers #UCISBAxLADodgers #FacilityTour,609,58,788,188,286,21,0,0,0,291,97,46,3,0,48,78,0,6,0
Event Recap,Spring 2022,Facility Tour - Dodger Stadium,#SBAUCI #SportsBusiness #UCI #UCIrvine #FacilityTour #DodgerStadium #LADodgers #WorldSeriesChamps,485,59,608,217,220,59,0,0,0,86,76,56,0,6,14,32,0,0,0
Announcement,Spring 2022,No Meeting,,273,20,370,131,238,0,0,0,0,1,19,19,0,0,0,1,0,0,0
Meeting Promotion,Spring 2022,"Guest Speaker - Michael Duarte, Sports Writer and Reporter, NBCLA",#SBAUCI #SportsBusiness #UCI #NBCLA #SportsJournalism #SportsWriting,353,30,442,146,219,27,0,0,0,41,62,27,2,1,32,21,0,0,0
Meeting Recap,Spring 2022,"Guest Speaker - Michael Duarte, Sports Writer and Reporter, NBCLA",#SBAUCI #SportsBusiness #UCI #UCIrvine #SportsJournalism #SportsWriting #NBCLA,451,40,561,205,256,61,0,0,0,23,42,39,1,0,2,14,0,0,0
Meeting Promotion,Spring 2022,"Guest Speaker - Scott Minto, Director of MBA Program, San Diego State University",#SBAUCI #SportsBusiness #UCI #SDSU #MBA #CareerExploration #BusinessSchool,336,21,414,136,249,3,0,0,0,25,46,20,0,0,26,9,0,0,0
Meeting Recap,Spring 2022,"Guest Speaker - Scott Minto, Director of MBA Program, San Diego State University",#SBAUCI #SportsBusiness #UCI #SDSU #MBA #CareerExploration #BusinessSchool,407,27,533,219,297,0,0,0,0,13,26,0,0,0,4,0,0,0,0
Meeting Promotion,Spring 2022,Guest Speaker - HR in Sports Panel,#SBA #SportsBusiness #HumanResources #HR #HRMA #UCI #UCIrvine #Business #HRinSports,878,60,1181,384,640,44,0,0,0,100,104,49,5,5,46,12,0,4,0
